ENSG00000286898.1	ENSG00000286898
ENSG00000226526.1	ENSG00000226526
ENSG00000159363.19	ATP13A2
ENSG00000288636.1	ENSG00000288636
ENSG00000117118.11	SDHB
ENSG00000117115.13	PADI2
ENSG00000204362.6	LINC02783
ENSG00000282843.1	ENSG00000282843
ENSG00000142623.11	PADI1
ENSG00000142619.4	PADI3
ENSG00000266634.1	MIR3972
ENSG00000159339.13	PADI4
ENSG00000276747.1	PADI6
ENSG00000227751.1	RCC2-AS1
ENSG00000179051.14	RCC2
ENSG00000290096.1	ENSG00000290096
ENSG00000074964.17	ARHGEF10L
ENSG00000236648.2	LINC02810
ENSG00000117148.8	ACTL8
ENSG00000284653.1	ENSG00000284653
ENSG00000261781.1	LINC01654
ENSG00000117154.12	IGSF21
ENSG00000280222.1	ENSG00000280222
ENSG00000230035.2	IGSF21-AS1
ENSG00000225387.1	ENSG00000225387
ENSG00000179023.9	KLHDC7A
ENSG00000235282.3	DYNLL1P3
ENSG00000225478.2	ENSG00000225478
ENSG00000009709.12	PAX7
ENSG00000179002.6	TAS1R2
ENSG00000159423.17	ALDH4A1
ENSG00000265606.1	MIR4695
ENSG00000221662.1	MIR1290
ENSG00000169991.11	IFFO2
ENSG00000272084.1	ENSG00000272084
ENSG00000127481.15	UBR4
ENSG00000230424.3	EMC1-AS1
ENSG00000127463.16	EMC1
ENSG00000053372.5	MRTO4
ENSG00000286064.1	ENSG00000286064
ENSG00000211454.16	AKR7L
ENSG00000162482.5	AKR7A3
ENSG00000270728.1	ENSG00000270728
ENSG00000053371.13	AKR7A2
ENSG00000200403.1	RNU6-1099P
ENSG00000040487.13	SLC66A1
ENSG00000077549.19	CAPZB
ENSG00000240490.3	RN7SL277P
ENSG00000173436.15	MICOS10
ENSG00000201609.1	RNU4-28P
ENSG00000235185.1	MICOS10-DT
ENSG00000158747.15	NBL1
ENSG00000270136.6	MICOS10-NBL1
ENSG00000226396.1	ENSG00000226396
ENSG00000158748.4	HTR6
ENSG00000162542.14	TMCO4
ENSG00000178828.7	RNF186
ENSG00000235434.1	RNF186-AS1
ENSG00000169914.6	OTUD3
ENSG00000188784.4	PLA2G2E
ENSG00000242688.3	RN7SL304P
ENSG00000188257.12	PLA2G2A
ENSG00000127472.11	PLA2G5
ENSG00000117215.15	PLA2G2D
ENSG00000158786.5	PLA2G2F
ENSG00000227066.2	ENSG00000227066
ENSG00000187980.7	PLA2G2C
ENSG00000162543.6	UBXN10
ENSG00000228105.2	LINC01757
ENSG00000284710.1	ENSG00000284710
ENSG00000158816.16	VWA5B1
ENSG00000226664.1	ENSG00000226664
ENSG00000236963.9	LINC01141
ENSG00000226487.1	ENSG00000226487
ENSG00000284641.1	ENSG00000284641
ENSG00000284743.1	ENSG00000284743
ENSG00000162545.6	CAMK2N1
ENSG00000289402.2	ENSG00000289402
ENSG00000090432.7	MUL1
ENSG00000215520.3	RPS4XP4
ENSG00000183114.8	FAM43B
ENSG00000158825.6	CDA
ENSG00000158828.8	PINK1
ENSG00000284005.1	MIR6084
ENSG00000117242.7	PINK1-AS
ENSG00000244038.11	DDOST
ENSG00000117245.13	KIF17
ENSG00000235432.1	ENSG00000235432
ENSG00000189410.12	SH2D5
ENSG00000233069.1	ENSG00000233069
ENSG00000127483.19	HP1BP3
ENSG00000075151.24	EIF4G3
ENSG00000251914.1	RNU7-200P
ENSG00000221808.1	MIR1256
ENSG00000233072.1	RPS15AP6
ENSG00000236073.2	ENSG00000236073
ENSG00000235112.1	HSPE1P27
ENSG00000287192.1	ENSG00000287192
ENSG00000117298.16	ECE1
ENSG00000236936.1	ENSG00000236936
ENSG00000231105.2	ECE1-AS1
ENSG00000236216.5	PPP1R11P1
ENSG00000228823.1	PDE4DIPP10
ENSG00000236009.1	ENSG00000236009
ENSG00000227001.3	NBPF2P
ENSG00000187952.9	HS6ST1P1
ENSG00000186543.7	CROCCP5
ENSG00000142794.19	NBPF3
ENSG00000176378.8	PFN1P10
ENSG00000162551.14	ALPL
ENSG00000289715.1	ENSG00000289715
ENSG00000233431.1	LINC02596
ENSG00000076864.21	RAP1GAP
ENSG00000090686.16	USP48
ENSG00000231978.2	ENSG00000231978
ENSG00000187942.12	LDLRAD2
ENSG00000142798.20	HSPG2
ENSG00000232037.3	RPL21P29
ENSG00000283234.1	ENSG00000283234
ENSG00000219073.8	CELA3B
ENSG00000285959.1	ENSG00000285959
ENSG00000273610.1	RN7SL386P
ENSG00000201919.1	RNU6-1022P
ENSG00000142789.20	CELA3A
ENSG00000278124.1	RN7SL186P
ENSG00000201273.1	RNU6-776P
ENSG00000228397.3	LINC01635
ENSG00000218510.9	LINC00339
ENSG00000289694.1	ENSG00000289694
ENSG00000285752.1	CDC42-AS1
ENSG00000285794.1	ENSG00000285794
ENSG00000070831.18	CDC42
ENSG00000230068.2	CDC42-IT1
ENSG00000271428.1	MPHOSPH6P1
ENSG00000162552.15	WNT4
ENSG00000285873.1	ENSG00000285873
ENSG00000266564.1	MIR4418
ENSG00000234397.3	PPIAP34
ENSG00000279625.1	ENSG00000279625
ENSG00000184677.18	ZBTB40
